id,name,gender,quality,level,skeleton,class,hp,mp,tp,at,ad,mt,md,speed,taunt,accur,evo,crit,expect,passiveEffect,bleed_def,mind_def,fire_def,frost_def,corrosion_def,hush_def,dizzy_def,confuse_def,race,extra
H_FIGHTER#000001,无名战士,-1,0,0,0,Fighter,100,25,50,10,10,5,5,3,10,10,1,5,2,,25,25,25,25,25,25,25,25,0,0
H_FIGHTER#000002,红肘子,0,0,0,0,Fighter,100,25,65,10,15,5,10,4,10,12,5,5,10,,25,25,25,25,25,25,25,25,0,0
H_FIGHTER#000003,白肘子,1,1,0,0,Fighter,100,25,65,10,15,5,10,4,10,12,5,5,10,,25,25,25,25,25,25,25,25,0,0
H_FIGHTER#000004,水晶肘子,1,2,0,0,Fighter,125,15,50,12,20,10,5,5,15,12,1,5,5,,25,25,25,25,25,25,25,25,0,0
H_FIGHTER#000005,蜜蜡肘子,0,3,0,0,Fighter,75,25,45,15,10,0,5,5,15,12,5,5,7,,25,25,25,25,25,25,25,25,0,0
H_FIGHTER#000006,熘蟹肉,0,0,0,0,Fighter,95,20,65,12,5,5,7,6,20,15,5,2,5,,25,25,25,25,25,25,25,25,1,0
H_FIGHTER#000007,炒蟹肉,0,1,0,0,Fighter,95,20,65,10,5,5,7,6,20,15,5,2,5,,25,25,25,25,25,25,25,25,1,0
H_FIGHTER#000008,拌蟹肉,1,2,0,0,Fighter,95,20,65,10,12,5,6,5,15,15,5,2,5,,25,25,25,25,25,25,25,25,1,0
H_FIGHTER#000009,蟹肉汤,1,3,0,0,Fighter,95,20,65,10,12,5,6,5,15,15,5,2,5,,25,25,25,25,25,25,25,25,1,0
H_FIGHTER#000010,黑豆腐,1,0,0,0,Fighter,150,35,50,17,12,10,10,4,10,10,1,5,2,,25,25,25,25,25,25,25,25,2,0
H_FIGHTER#000011,白豆腐,1,1,0,0,Fighter,125,25,70,12,10,10,5,4,15,10,1,2,2,,25,25,25,25,25,25,25,25,2,0
H_FIGHTER#000012,什锦豆腐,0,2,0,0,Fighter,125,25,45,20,10,5,5,3,15,10,2,2,4,,25,25,25,25,25,25,25,25,2,0
H_FIGHTER#000013,豆腐卤,0,3,0,0,Fighter,125,25,45,20,10,5,5,3,15,10,2,2,4,,25,25,25,25,25,25,25,25,2,0
