id,name,gender,quality,level,skeleton,class,hp,mp,tp,at,ad,mt,md,speed,taunt,accur,evo,crit,expect,passiveEffect,bleed_def,mind_def,fire_def,frost_def,corrosion_def,hush_def,dizzy_def,confuse_def,race,extra
H_RANGER#100001,无名游侠,-1,0,0,0,Ranger,100,60,50,15,5,7,2,5,1,10,10,5,2,,10,10,10,10,10,10,10,10,0,0
H_RANGER#100002,全羊肝儿,1,0,0,0,Ranger,100,60,50,17,3,7,2,5,1,15,5,5,5,,10,10,10,10,10,10,10,10,0,0
H_RANGER#100003,熘蟹腿儿,0,0,0,0,Ranger,100,60,50,17,3,7,2,5,1,15,5,5,5,,10,10,10,10,10,10,10,10,0,0
H_RANGER#100004,白斩鸡,1,0,0,0,Ranger,100,60,50,15,5,7,2,5,1,15,3,5,5,,10,10,10,10,10,10,10,10,0,0
H_RANGER#100005,炸排骨,0,0,0,0,Ranger,100,60,50,15,5,7,2,5,1,15,3,5,5,,10,10,10,10,10,10,10,10,0,0
H_RANGER#100006,莲子粥,1,0,0,0,Ranger,70,70,50,20,2,8,5,7,1,20,10,5,2,,10,10,10,10,10,10,10,10,1,0
H_RANGER#100007,杏仁茶,1,0,0,0,Ranger,70,70,50,20,2,8,5,7,1,20,10,5,2,,10,10,10,10,10,10,10,10,1,0
H_RANGER#100008,糖蒸八宝饭,1,0,0,0,Ranger,70,70,50,20,4,10,5,6,1,15,5,5,2,,10,10,10,10,10,10,10,10,1,0
H_RANGER#100009,酒酿汤圆,1,0,0,0,Ranger,70,70,50,20,4,10,5,6,1,15,5,5,2,,10,10,10,10,10,10,10,10,1,0
H_RANGER#100010,芙蓉糕,1,0,0,0,Ranger,120,75,50,17,7,12,8,5,1,15,5,5,2,,10,10,10,10,10,10,10,10,2,0
H_RANGER#100011,喇嘛糕,0,0,0,0,Ranger,120,75,50,17,7,12,8,5,1,15,5,5,2,,10,10,10,10,10,10,10,10,2,0
H_RANGER#100012,油炸合子,0,0,0,0,Ranger,120,80,50,17,8,12,8,5,1,15,3,2,2,,10,10,10,10,10,10,10,10,2,0
H_RANGER#100013,炸元宵,1,0,0,0,Ranger,120,80,50,17,8,12,8,5,1,15,3,2,2,,10,10,10,10,10,10,10,10,2,0
